logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
intentional,0,"Ice core drilling shows that 800 years after natural warming , the atmosphere increases in carbon dioxide . The zenith of the Little Ice Age was 300 years ago and since then we have slightly warmed and cooled during a long-term warming trend . Instrumental temperature measurements over the past 150 years show no correlation between human emissions of CO2 and ­temperature . On all timescales it can be shown that there is no correlation between CO2 emissions and global warming ."," Ice core drilling shows that 800 years after natural warming, the atmosphere increases in carbon dioxide. Instrumental temperature measurements over the past 150 years show no correlation between human emissions of CO2 and temperature. On all timescales it can be shown that there is no correlation between CO2 emissions and global warming.", Human emissions of CO2 do not cause global warming.,"IsAfter(d, c),  IncreasesInCO2(e),  ShowsNoCorrelation(f, a, h),  ShowsNoCorrelation(i, a, b)","CauseNot(a, b)",[],"[(' Human emissions of CO2', ' carbon dioxide'), (' human emissions of CO2', ' Human emissions of CO2'), (' Human emissions of CO2', ' CO2 emissions'), (' global warming.', ' global warming')]",[],"(IsAfter(d, c) and IncreasesInCO2(e)) and (ShowsNoCorrelation(f, a, h) and ShowsNoCorrelation(i, a, b))","CauseNot(a, b)","((IsAfter(d, c) and IncreasesInCO2(e)) and (ShowsNoCorrelation(f, a, h) and ShowsNoCorrelation(i, a, b))) -> (CauseNot(a, b))","(exists a (exists i (exists d (exists f (exists h (exists b (exists c (exists e ((IsAfter(d, c) and IncreasesInCO2(e)) and (ShowsNoCorrelation(f, a, h) and ShowsNoCorrelation(i, a, b))))))))))) -> (exists a (exists b (CauseNot(a, b))))"
intentional,0,There is no proof the current rate of change in Antarctica will continue ., There is no proof the current rate of change in Antarctica will continue.  , The rate of change in Antarctica may not continue.,"IsInAntarctica(c),  HasNoProof(b)",IsInAntarctica(d),[],"[(' Antarctica', ' Antarctica')]","[(' current rate of change', ' Rate of change')]",IsInAntarctica(c) and HasNoProof(b),IsInAntarctica(d) and ~WillContinue(d),(exists c (IsInAntarctica(c) and HasNoProof(b))) -> (forall d (IsInAntarctica(d) and ~WillContinue(d))),(exists c (exists b (IsInAntarctica(c) and HasNoProof(b)))) -> (exists d (IsInAntarctica(d) and ~WillContinue(d)))
fallacy of credibility,0,"Research shows that this process is overpowering the erosion from sea-level rise , leading to net land-area gain .", The process is overpowering the erosion from sea-level rise.  , There is net land-area gain.,"IsOverpowering(a, b),  IsFrom(b, c)",IsNetLandAreaGain(d),[],[],[],"IsOverpowering(a, b) and IsFrom(b, c)",IsNetLandAreaGain(d),"(IsOverpowering(a, b) and IsFrom(b, c)) -> (IsNetLandAreaGain(d))","(exists a (exists c (exists b (IsOverpowering(a, b) and IsFrom(b, c))))) -> (exists d (IsNetLandAreaGain(d)))"
false dilemma,0,"When it thaws and is released , that carbon may evaporate as methane , which is 34 times as powerful a greenhouse-gas warming blanket as carbon dioxide when judged on the timescale of a century ; when judged on the timescale of two decades , it is 86 times as powerful ."," Carbon may evaporate as methane, which is a powerful greenhouse-gas warming blanket.", Methane is significantly more powerful than carbon dioxide as a greenhouse gas.,"IsEvaporatedAs(b,a),  IsPowerfulGreenhouseGas(a)","IsMorePowerfulThan(a, c),  IsGreenhouseGas(a),  IsGreenhouseGas(c)",[],"[(' methane', ' Methane'), (' Methane', ' powerful greenhouse-gas warming blanket')]","[(' Carbon', ' carbon dioxide'), (' methane', ' greenhouse gas')]","IsEvaporatedAs(b,a) and IsPowerfulGreenhouseGas(a)","IsMorePowerfulThan(a, c) and IsGreenhouseGas(a) and IsGreenhouseGas(c)","(exists b (IsEvaporatedAs(b,a) and IsPowerfulGreenhouseGas(a))) -> (forall c (IsMorePowerfulThan(a, c) and IsGreenhouseGas(a) and IsGreenhouseGas(c)))","(exists a (exists b (IsEvaporatedAs(b,a) and IsPowerfulGreenhouseGas(a)))) -> (exists a (exists c (IsMorePowerfulThan(a, c) and IsGreenhouseGas(a) and IsGreenhouseGas(c))))"
appeal to emotion,0,We are the envy of the world ., We are the envy of the world.  , The world envies us.,AreEnviedByWorld(a),"Envies(c, a)",[],"[(' We', ' us')]",[],AreEnviedByWorld(a),"Envies(c, a)","(AreEnviedByWorld(a)) -> (Envies(c, a))","(exists a (AreEnviedByWorld(a))) -> (exists c (exists a (Envies(c, a))))"
fallacy of credibility,0,"The new research suggests that the oceans hundreds of millions of years ago were much cooler than we thought . If true , that means that the global warming we are currently undergoing is unparallelled within the last 100 million years , and far worse than we had previously calculated .", The new research suggests that the oceans hundreds of millions of years ago were much cooler than we thought.  , The global warming we are currently undergoing is unparalleled within the last 100 million years and far worse than we had previously calculated.,"Suggests(b),  WereCooler(c, d)","IsUndergoing(e, a),  IsUnparalleled(e, f),  IsWorseThanPreviouslyCalculated(e, a)",[],"[(' we', ' we'), (' we', ' we')]",[],"Suggests(b) and WereCooler(c, d)","IsUndergoing(e, a) and IsUnparalleled(e, f) and IsWorseThanPreviouslyCalculated(e, a)","(Suggests(b) and WereCooler(c, d)) -> (IsUndergoing(e, a) and IsUnparalleled(e, f) and IsWorseThanPreviouslyCalculated(e, a))","(exists c (exists d (exists b (Suggests(b) and WereCooler(c, d))))) -> (exists a (exists e (exists f (IsUndergoing(e, a) and IsUnparalleled(e, f) and IsWorseThanPreviouslyCalculated(e, a)))))"
appeal to emotion,0,So it ’ s been a surprise to climate scientists that 2017 has been so remarkably warm — because the last El Niño ended a year ago ., 2017 has been remarkably warm despite the last El Niño ending a year ago.  , Climate scientists are surprised by the warmth of 2017.,"HasBeenRemarkablyWarm(a),  EndedAYearAgo(b)","AreSurprised(c),  IsWarm(d),  OccursIn(d, a)",[],"[(' 2017', ' 2017')]",[],HasBeenRemarkablyWarm(a) and EndedAYearAgo(b),"AreSurprised(c) and IsWarm(d) and OccursIn(d, a)","(HasBeenRemarkablyWarm(a) and EndedAYearAgo(b)) -> (AreSurprised(c) and IsWarm(d) and OccursIn(d, a))","(exists a (exists b (HasBeenRemarkablyWarm(a) and EndedAYearAgo(b)))) -> (exists c (exists d (exists a (AreSurprised(c) and IsWarm(d) and OccursIn(d, a)))))"
fallacy of extension,0,"Although the extent of the summer sea ice after 2006 dropped abruptly to levels not expected until 2050 , the predicted 67-per-cent decline in polar bear numbers simply didn ’ t happen .", The predicted 67-percent decline in polar bear numbers did not happen.  , Summer sea ice levels after 2006 dropped abruptly to levels not expected until 2050.,"IsPredicted(a),  DidNotHappen(a)","DroppedAbruptly(c),  NotExpectedUntil(c, e)",[],[],[],IsPredicted(a) and DidNotHappen(a),"DroppedAbruptly(c) and NotExpectedUntil(c, e)","(IsPredicted(a) and DidNotHappen(a)) -> (DroppedAbruptly(c) and NotExpectedUntil(c, e))","(exists a (IsPredicted(a) and DidNotHappen(a))) -> (exists c (exists e (DroppedAbruptly(c) and NotExpectedUntil(c, e))))"
ad populum,0,"Not only do polls suggest the public is unmoved at home and in abroad , serial exaggeration at this point is arguably backfiring , confirming the perils of climate exaggeration .", Serial exaggeration is arguably backfiring.  , The public is unmoved by climate exaggeration.,"IsSerialExaggeration(a),  IsArguablyBackfiring(a)","IsUnmoved(b),  IsClimateExaggeration(c)",[],[],[],IsSerialExaggeration(a) and IsArguablyBackfiring(a),IsUnmoved(b) and IsClimateExaggeration(c),(IsSerialExaggeration(a) and IsArguablyBackfiring(a)) -> (IsUnmoved(b) and IsClimateExaggeration(c)),(exists a (IsSerialExaggeration(a) and IsArguablyBackfiring(a))) -> (exists c (exists b (IsUnmoved(b) and IsClimateExaggeration(c))))
ad hominem,0,Green activists are at war with the greatest American foe since the Axis Powers—or so they say ., Green activists are at war with the greatest American foe since the Axis Powers., The greatest American foe since the Axis Powers is what green activists are fighting against.,"IsGreenActivist(a),  IsAtWar(a),  IsAmericanFoe(a),  GreaterThan(AxisPowers, a)","IsAmericanFoe(b),  GreaterThan(b, c),  FightingAgainst(d, b)",[],[],[],"IsGreenActivist(a) and IsAtWar(a) and IsAmericanFoe(a) and GreaterThan(AxisPowers, a)","IsAmericanFoe(b) and GreaterThan(b, c) and FightingAgainst(d, b)","(IsGreenActivist(a) and IsAtWar(a) and IsAmericanFoe(a) and GreaterThan(AxisPowers, a)) -> (IsAmericanFoe(b) and GreaterThan(b, c) and FightingAgainst(d, b))","(exists a (IsGreenActivist(a) and IsAtWar(a) and IsAmericanFoe(a) and GreaterThan(AxisPowers, a))) -> (exists c (exists d (exists b (IsAmericanFoe(b) and GreaterThan(b, c) and FightingAgainst(d, b)))))"
false dilemma,0,"Global warming is not even the obvious top environmental threat . Dirty water , dirty air
and insect-borne diseases are a far greater problem today for most people world-wide ."," Dirty water, dirty air, and insect-borne diseases are a far greater problem today for most people worldwide.", Global warming is not the top environmental threat.,"IsDirty(a),  IsDirty(b),  IsInsectBorne(c),  IsGreaterProblemTodayFor(d, a),  IsGreaterProblemTodayFor(d, b),  IsGreaterProblemTodayFor(d, c)","IsNotTopThreat(e, f)",[],[],"[(' Dirty water', ' environmental threat'), (' dirty air', ' environmental threat'), (' insect-borne diseases', ' environmental threat')]","IsDirty(a) and IsDirty(b) and IsInsectBorne(c) and IsGreaterProblemTodayFor(d, a) and IsGreaterProblemTodayFor(d, b) and IsGreaterProblemTodayFor(d, c)","IsNotTopThreat(e, f)","(exists c (exists b (exists a (IsDirty(a) and IsDirty(b) and IsInsectBorne(c) and IsGreaterProblemTodayFor(d, a) and IsGreaterProblemTodayFor(d, b) and IsGreaterProblemTodayFor(d, c))))) -> (forall f (IsNotTopThreat(e, f)))","(exists a (exists d (exists c (exists b (IsDirty(a) and IsDirty(b) and IsInsectBorne(c) and IsGreaterProblemTodayFor(d, a) and IsGreaterProblemTodayFor(d, b) and IsGreaterProblemTodayFor(d, c)))))) -> (exists e (exists f (IsNotTopThreat(e, f))))"
ad hominem,0,"And for the media it ’ s ideology , money , and headlines ."," The media is driven by ideology, money, and headlines.  "," The media is influenced by ideology, money, and headlines.","IsDrivenBy(a, b),  IsDrivenBy(a, c),  IsDrivenBy(a, d)","IsInfluencedBy(a, b),  IsInfluencedBy(a, c),  IsInfluencedBy(a, d)",[],"[(' The media', ' The media'), (' ideology', ' ideology'), (' money', ' money'), (' headlines', ' headlines')]","[(' headlines', ' The media')]","IsDrivenBy(a, b) and IsDrivenBy(a, c) and IsDrivenBy(a, d)","IsInfluencedBy(a, b) and IsInfluencedBy(a, c) and IsInfluencedBy(a, d)","(exists d (IsDrivenBy(a, b) and IsDrivenBy(a, c) and IsDrivenBy(a, d))) -> (exists d (forall a (IsInfluencedBy(a, b) and IsInfluencedBy(a, c) and IsInfluencedBy(a, d))))","(exists a (exists d (exists c (exists b (IsDrivenBy(a, b) and IsDrivenBy(a, c) and IsDrivenBy(a, d)))))) -> (exists a (exists d (exists c (exists b (IsInfluencedBy(a, b) and IsInfluencedBy(a, c) and IsInfluencedBy(a, d))))))"
faulty generalization,0,"The Earth has experienced five mass extinctions before the one we are living through now , each so complete a slate-wiping of the evolutionary record it functioned as a resetting of the planetary clock , and many climate scientists will tell you they are the best analog for the ecological future we are diving headlong into .", The Earth has experienced five mass extinctions before the one we are living through now.  , The ecological future we are diving into will be a slate-wiping of the evolutionary record.,"HasExperienced(a, b),  IsBefore(b, c),  AreLivingThrough(d, c)","IsSlateWiping(e, f)",[],[],[],"HasExperienced(a, b) and IsBefore(b, c) and AreLivingThrough(d, c)","IsSlateWiping(e, f)","(HasExperienced(a, b) and IsBefore(b, c) and AreLivingThrough(d, c)) -> (IsSlateWiping(e, f))","(exists a (exists d (exists c (exists b (HasExperienced(a, b) and IsBefore(b, c) and AreLivingThrough(d, c)))))) -> (exists e (exists f (IsSlateWiping(e, f))))"
intentional,0,"The highest record temperature ever reported was 136 degrees Fahrenheit in Libya in 1922 . The record high temperature for the United States was 134 degrees Fahrenheit in Death Valley , California in 1913 . Fossil fuel emissions in 1913 and 1922 were negligible compared to today ."," The highest record temperature ever reported was 136 degrees Fahrenheit in Libya in 1922. The record high temperature for the United States was 134 degrees Fahrenheit in Death Valley, California in 1913. Fossil fuel emissions in 1913 and 1922 were negligible compared to today.", High temperatures occurred with negligible fossil fuel emissions.,"WasReported(b,c),  WasIn1922(b),  IsNegligible(a)","Occurred(h),  IsNegligible(a)",[],"[(' fossil fuel emissions', ' fossil fuel emissions')]","[(' The highest record temperature', ' High temperatures')]","WasReported(b,c) and WasIn1922(b) and IsNegligible(a)",IsNegligible(a) and Occurred(h),"(exists b (WasReported(b,c) and WasIn1922(b) and IsNegligible(a))) -> (forall h (IsNegligible(a) and Occurred(h)))","(exists c (exists a (exists b (WasReported(b,c) and WasIn1922(b) and IsNegligible(a))))) -> (exists a (exists h (IsNegligible(a) and Occurred(h))))"
intentional,0,"In the very year they had forecast that the Arctic would be “ ice free ” , its thickness increased by a third . Polar bear numbers are rising , not falling . Temperatures in Greenland have shown no increase for decades ."," The Arctic ice thickness increased by a third in the year it was forecast to be ""ice free."" Polar bear numbers are rising. Temperatures in Greenland have shown no increase for decades.", Climate predictions about the Arctic and Greenland are inaccurate.,"IsIncreasedByABthird(b),  IsIceFreeForecast(c),  IsRising(d),  HasShownNoIncreaseForDecades(e)",IsInaccurate(f),[],"[(' Greenland', ' Greenland')]","[(' The Arctic ice thickness', ' the Arctic'), (' Greenland', ' the Arctic')]",IsIncreasedByABthird(b) and IsIceFreeForecast(c) and IsRising(d) and HasShownNoIncreaseForDecades(e),IsInaccurate(f),(IsIncreasedByABthird(b) and IsIceFreeForecast(c) and IsRising(d) and HasShownNoIncreaseForDecades(e)) -> (IsInaccurate(f)),(exists c (exists e (exists d (exists b (IsIncreasedByABthird(b) and IsIceFreeForecast(c) and IsRising(d) and HasShownNoIncreaseForDecades(e)))))) -> (exists f (IsInaccurate(f)))
fallacy of extension,0,"Why , between 2009 and 2014 , did Defra spend a whopping £12.5 million on an ocean acidification research programme when the issue could have been resolved , for next to nothing , after a few hours ’ basic research ?", Defra spent £12.5 million on an ocean acidification research programme between 2009 and 2014., The ocean acidification issue could have been resolved for next to nothing after a few hours of basic research.,"SpentOn(a, b, c)","Resolved(d),  TakesFewHours(e, f)",[],[],"[(' ocean acidification research programme', ' The ocean acidification issue'), (' ocean acidification research programme', ' basic research')]","SpentOn(a, b, c)","Resolved(d) and TakesFewHours(e, f)","(exists c (SpentOn(a, b, c))) -> (forall f (forall d (Resolved(d) and TakesFewHours(e, f))))","(exists a (exists c (exists b (SpentOn(a, b, c))))) -> (exists e (exists f (exists d (Resolved(d) and TakesFewHours(e, f)))))"
faulty generalization,0,"For decades , most scientists saw climate change as a distant prospect .", Most scientists saw climate change as a distant prospect for decades.  , Climate change is a distant prospect.,"Saw(c, a),  IsDistantProspect(a, b),  IsForDecades(b, d)","IsDistantProspect(a, b)",[],"[(' climate change', ' Climate change'), (' distant prospect', ' distant prospect')]",[],"Saw(c, a) and IsDistantProspect(a, b) and IsForDecades(b, d)","IsDistantProspect(a, b)","(Saw(c, a) and IsDistantProspect(a, b) and IsForDecades(b, d)) -> (IsDistantProspect(a, b))","(exists c (exists b (exists d (exists a (Saw(c, a) and IsDistantProspect(a, b) and IsForDecades(b, d)))))) -> (exists a (exists b (IsDistantProspect(a, b))))"
appeal to emotion,0,"If your anxiety about global warming is dominated by fears of sea-level rise , you are barely scratching the surface of what terrors are possible , even within the lifetime of a teenager today .", Anxiety about global warming is dominated by fears of sea-level rise., More terrors than sea-level rise are possible within the lifetime of a teenager today.,"DominatedByFears(b, d),  IsAboutGlobalWarming(b),  AreAboutSeaLevelRise(d, a)","AreMoreThan(e, a),  ArePossibleWithinLifetime(e, f),  IsLifetimeOf(f, g)",[],"[(' sea-level rise', ' sea-level rise')]",[],"IsAboutGlobalWarming(b) and DominatedByFears(b, d) and AreAboutSeaLevelRise(d, a)","AreMoreThan(e, a) and ArePossibleWithinLifetime(e, f) and IsLifetimeOf(f, g)","(IsAboutGlobalWarming(b) and DominatedByFears(b, d) and AreAboutSeaLevelRise(d, a)) -> (AreMoreThan(e, a) and ArePossibleWithinLifetime(e, f) and IsLifetimeOf(f, g))","(exists a (exists d (exists b (IsAboutGlobalWarming(b) and DominatedByFears(b, d) and AreAboutSeaLevelRise(d, a))))) -> (exists a (exists e (exists f (exists g (AreMoreThan(e, a) and ArePossibleWithinLifetime(e, f) and IsLifetimeOf(f, g))))))"
