label,updated_label,articles,Logical Form,Logical Form 2
1,,A white and black dog catching a Frisbee. It follows that the dog is playing with a toy thrown by a person.,"(forall a (IsCaught(a,b)) -> (exists e (IsThrown(c,d) -> IsAt(c,e))","(exists a (IsCaught(a,b)) -> (exists e (IsThrown(c,d) -> IsAt(c,e))"
1,,"A firefighter is putting wooden blocks under a crushed blue car. Therefore, the firefighter is putting something under the car.","(exists c (forall b (exists a (IsPutting(a,b) -> IsUnder(a,c)))) -> (forall f (exists e (forall d (IsPutting(d,e) -> IsUnder(d,f))))","(exists c (exists b (exists a (IsPutting(a,b) -> IsUnder(a,c)))) -> (exists f (exists e (exists d (IsPutting(d,e) -> IsUnder(d,f))))"
1,,"Hispanic woman wearing a red plaid shirt works on sewing an article of clothing. As a consequence, woman wearing a shirt sewing.",(exists b (exists a (IsHispanic(a) -> WearsRedPlaidShirt(b))) -> (forall e (forall d (forall c (IsWearing(c) -> IsSewing(d) -> IsAnArticleOfClothing(e)))),(exists b (exists a (IsHispanic(a) -> WearsRedPlaidShirt(b))) -> (exists e (exists d (exists c (IsWearing(c) -> IsSewing(d) -> IsAnArticleOfClothing(e))))
1,,"A group of people walking down the street with one on the phone in a green hat. Thus, people are outside.","(forall a (IsWalkedDown(a,b)) -> (exists c (IsOutside(c))","(exists a (IsWalkedDown(a,b)) -> (exists c (IsOutside(c))"
1,,Six children run towards a soccer ball on an athletic field. It follows that children run towards a soccer ball.,"(exists b (IsRunTowards(b,a)) -> (forall c (IsRunTowards(c,a))","(exists b (IsRunTowards(b,a)) -> (exists c (IsRunTowards(c,a))"
1,,"A man with no shirt and purple pants crouches while tampering with a metallic object. Consequently, shirtless man tampers with metal thing.",(forall b (forall a (IsNoShirt(a) -> IsTampering(b))) -> (exists d (exists c (IsTamperedWith(c) -> IsMetal(d))),(exists b (exists a (IsNoShirt(a) -> IsTampering(b))) -> (exists d (exists c (IsTamperedWith(c) -> IsMetal(d)))
1,,A smiling girl in glasses and a blue-gray scarf with a smiling girl in a black coat leaning on her shoulder. This implies that the girls are smiling.,(IsInGlasses(a) -> IsSmiling(c) -> (IsSmiling(d),(IsInGlasses(a) -> IsSmiling(c) -> (IsSmiling(d)
1,,"A man in a yellow tie is rubbing the back of his neck. Hence, a man is rubbing his neck.",(IsRubbing(a) -> (IsInYellowTie(c) -> IsRubbingNeck(d),(IsRubbing(a) -> (IsInYellowTie(c) -> IsRubbingNeck(d)
1,,"A baseball player gets ready to catch a fly ball near the outfield fence. Therefore, a person is playing baseball outdoors.","(exists b (IsNear(a,b)) -> (forall e (IsPlayingBaseball(c) -> IsOutdoors(e))","(exists b (IsNear(a,b)) -> (exists e (IsPlayingBaseball(c) -> IsOutdoors(e))"
1,,A bald man has hand on the shoulder of another man. It follows that a man is touching another person.,"(forall b (exists a (IsBald(a) -> IsTouching(b))) -> (exists c (forall d (IsTouching(c,d)))","(exists b (exists a (IsBald(a) -> IsTouching(b))) -> (exists c (exists d (IsTouching(c,d)))"
