label,updated_label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
0,false causality,"Believing that ""runs"" occur to statistically independent phenomena such as routine wheel spirits."," ""Runs occur to statistically independent phenomena such as routine wheel spins.""  "," ""Runs do not happen in statistically independent phenomena like routine wheel spins.""","OccurTo(a, b),  AreRoutineWheelSpins(c)","DoNotHappenIn(a, b),  AreRoutineWheelSpins(c)",[],"[(' Runs', ' Runs'), (' statistically independent phenomena', ' statistically independent phenomena'), (' routine wheel spins', ' routine wheel spins')]",[],"OccurTo(a, b) and AreRoutineWheelSpins(c)","DoNotHappenIn(a, b) and AreRoutineWheelSpins(c)","(OccurTo(a, b) and AreRoutineWheelSpins(c)) -> (DoNotHappenIn(a, b) and AreRoutineWheelSpins(c))","(exists a (exists c (exists b (OccurTo(a, b) and AreRoutineWheelSpins(c))))) -> (exists a (exists c (exists b (DoNotHappenIn(a, b) and AreRoutineWheelSpins(c)))))"
0,false causality,"I broke a mirror earlier in the day, and then I received an F on my history final. Therefore, I received the F because I broke the mirror."," ""I broke a mirror and received an F on the history final.""  "," ""Breaking a mirror caused receiving an F on the history final.""","Broke(d, a),  Received(d, b),  On(b, c)","IsBroken(a),  CausesReceiving(a, b),  On(b, c)",[],"[(' a mirror', ' A mirror'), (' an F', ' an F'), (' the history final', ' the history final')]",[],"Broke(d, a) and Received(d, b) and On(b, c)","IsBroken(a) and (CausesReceiving(a, b) and On(b, c))","(Broke(d, a) and Received(d, b) and On(b, c)) -> (IsBroken(a) and (CausesReceiving(a, b) and On(b, c)))","(exists a (exists c (exists b (exists d (Broke(d, a) and Received(d, b) and On(b, c)))))) -> (exists a (exists c (exists b (IsBroken(a) and (CausesReceiving(a, b) and On(b, c))))))"
0,fallacy of extension,"Charlie: I think we should put more money into schools. Quality public education is so important.
Bob: So you’re saying we should cut military spending and spend it instead on more spiral notebooks and crayons? I guess you want our country to be a weak, defenseless target for terrorists.
Charlie: Creo que deberíamos invertir más dinero en las escuelas. La educación pública de calidad es muy importante.

Bob: ¿Entonces estás diciendo que deberíamos recortar el gasto militar y gastarlo en más cuadernos de espiral y crayones? Supongo que quiere que nuestro país sea un objetivo débil e indefenso para los terroristas.", We should invest more money in schools for quality public education.  ," Investing in education will make the country a weak, defenseless target for terrorists.","InvestedIn(a),  ForQualityEducation(c)","InvestedIn(d),  IsWeak(e),  IsDefenseless(e),  IsTargetFor(f, g)",[],[],"[(' schools', ' Education'), (' quality public education', ' Education')]",InvestedIn(a) and ForQualityEducation(c),"(InvestedIn(d) and IsWeak(e) and IsDefenseless(e)) and IsTargetFor(f, g)","(exists c (InvestedIn(a) and ForQualityEducation(c))) -> (forall d ((InvestedIn(d) and IsWeak(e) and IsDefenseless(e)) and IsTargetFor(f, g)))","(exists a (exists c (InvestedIn(a) and ForQualityEducation(c)))) -> (exists f (exists e (exists g (exists d ((InvestedIn(d) and IsWeak(e) and IsDefenseless(e)) and IsTargetFor(f, g))))))"
0,false causality,"Cellphones weren’t invented before I was born. Now, they are everywhere! Therefore, cellphones were created because I was born."," ""Cellphones were not invented before I was born and now they are everywhere."""," ""Cellphones were created because I was born.""","WereNotInvented(a),  AreEverywhere(a)",WereCreated(a),[],"[(' Cellphones', ' Cellphones'), (' I', ' I')]",[],WereNotInvented(a) and AreEverywhere(a),WasBorn(b) and WereCreated(a),(WereNotInvented(a) and AreEverywhere(a)) -> (WasBorn(b) and WereCreated(a)),(exists a (WereNotInvented(a) and AreEverywhere(a))) -> (exists a (exists b (WasBorn(b) and WereCreated(a))))
0,ad hominem,Ms. Baker assigned me a lot of homework because she’s a witch!, Ms. Baker is a witch.  , Ms. Baker assigned a lot of homework.,IsWitch(a),"AssignedHomework(a, c)",[],"[(' Ms. Baker', ' Ms. Baker')]",[],IsWitch(a),"AssignedHomework(a, c)","(IsWitch(a)) -> (AssignedHomework(a, c))","(exists a (IsWitch(a))) -> (exists a (exists c (AssignedHomework(a, c))))"
0,fallacy of credibility,"My dad went to school, so he knows everything about the education system."," ""Dad went to school.""  "," ""Dad knows everything about the education system.""","WentTo(b, a)","KnowsEverythingAbout(c, a)",[],"[(' Dad', ' Dad')]","[(' school', ' the education system')]","WentTo(b, a)","KnowsEverythingAbout(c, a)","(exists b (WentTo(b, a))) -> (forall c (KnowsEverythingAbout(c, a)))","(exists a (exists b (WentTo(b, a)))) -> (exists a (exists c (KnowsEverythingAbout(c, a))))"
0,ad populum,Everyone is doing the Low-Carb Diet., Everyone is doing the Low-Carb Diet.  , You should do the Low-Carb Diet.,"IsDoing(a, b)","IsDoing(a, c)",[],"[(' Low-Carb Diet', ' the Low-Carb Diet')]","[(' Everyone', ' You')]","IsDoing(a, b)","IsDoing(a, c)","(exists b (IsDoing(a, b))) -> (forall c (IsDoing(a, c)))","(exists a (exists b (IsDoing(a, b)))) -> (exists a (exists c (IsDoing(a, c))))"
0,fallacy of extension,"Parent: You need to clean out your backpack.
Child: You know I have ADD! Why can’t you just accept me as I am?", The child has ADD.  , The parent should accept the child as the child is.,HasADD(a),"ShouldAccept(c, a)",[],"[(' The child', ' the child'), (' The child', ' the child')]",[],HasADD(a),"ShouldAccept(c, a)","(HasADD(a)) -> (ShouldAccept(c, a))","(exists a (HasADD(a))) -> (exists a (exists c (ShouldAccept(c, a))))"
0,fallacy of credibility,"X has been around for years now.
Y is new.
Therefore, Y is better than X.", Y is new.  , Y is better than X.,IsNew(a),"IsBetterThan(a, b)",[],"[(' Y', ' Y')]",[],IsNew(a),"IsBetterThan(a, b)","(IsNew(a)) -> (IsBetterThan(a, b))","(exists a (IsNew(a))) -> (exists a (exists b (IsBetterThan(a, b))))"
0,false causality,"""Right when I sneezed, the power went off. I must've caused the outage."" Bragged Zohaw."," ""Zohaw sneezed and the power went off."""," ""Zohaw caused the power outage.""","Sneezed(a),  WentOff(b)","Caused(a, c)",[],"[(' Zohaw', ' Zohaw')]",[],Sneezed(a) and WentOff(b),"Caused(a, c)","(Sneezed(a) and WentOff(b)) -> (Caused(a, c))","(exists a (exists b (Sneezed(a) and WentOff(b)))) -> (exists a (exists c (Caused(a, c))))"
0,equivocation,"I like my steak rare. But I don’t care for aardvark steak, even though it’s the rarest steak in the world.", Aardvark steak is the rarest steak in the world.  , Aardvark steak is not liked.,IsRare(a),IsNotLiked(a),[],"[(' Aardvark steak', ' Aardvark steak'), (' Aardvark steak', ' steak')]",[],IsRare(a),~IsLiked(a),(IsRare(a)) -> (~IsLiked(a)),(exists a (IsRare(a))) -> (exists a (~IsLiked(a)))
0,faulty generalization,"If you allow the students to redo this one test, they will always want to redo all future tests", Students will always want to redo all future tests.  , Do not allow the students to redo this one test.,WantsToRedoTests(a),WantsToRedoTest(c),[],[],"[(' Students', ' The students')]",WantsToRedoTests(a),WantsToRedoTest(c),(exists a (WantsToRedoTests(a))) -> (forall c (WantsToRedoTest(c))),(exists a (WantsToRedoTests(a))) -> (exists c (WantsToRedoTest(c)))
0,fallacy of relevance,"There is no need for additional taxes for education. Every year we throw more money into education, and all they do is hire more management and build more buildings. None of the money actually reaches the classroom or is really used for education."," More money is thrown into education every year, and it is used to hire more management and build more buildings.", There is no need for additional taxes for education.,"IsThrownInto(b, a),  IsUsedToHire(c),  IsUsedToBuild(d)","IsFor(e, a)",[],"[(' education', ' education')]",[],"IsThrownInto(b, a) and IsUsedToHire(c) and IsUsedToBuild(d)","~IsFor(e, a)","(IsThrownInto(b, a) and IsUsedToHire(c) and IsUsedToBuild(d)) -> (~IsFor(e, a))","(exists a (exists c (exists d (exists b (IsThrownInto(b, a) and IsUsedToHire(c) and IsUsedToBuild(d)))))) -> (exists a (exists e (~IsFor(e, a))))"
0,false causality,Believing that the cause of the Reformation was simply Martin Luther posting his theses, Martin Luther posting his theses was the cause of the Reformation.  , The cause of the Reformation was Martin Luther posting his theses.,"PostedTheses(a, b),  CausedReformation(b, c)","CausedReformation(d, b),  PostedTheses(a, b)",[],"[(' Martin Luther', ' Martin Luther'), (' his theses', ' his theses')]","[(' Martin Luther', ' The cause of the Reformation'), (' his theses', ' The cause of the Reformation'), (' his theses', ' Martin Luther')]","PostedTheses(a, b) and CausedReformation(b, c)","PostedTheses(a, b) and CausedReformation(d, b)","(exists b (exists a (PostedTheses(a, b) and CausedReformation(b, c)))) -> (exists b (forall a (forall d (PostedTheses(a, b) and CausedReformation(d, b)))))","(exists a (exists c (exists b (PostedTheses(a, b) and CausedReformation(b, c))))) -> (exists a (exists d (exists b (PostedTheses(a, b) and CausedReformation(d, b)))))"
0,false causality,The party was going great! Then Gerald showed up and little by little people started collecting their coats and heading home. Gerald ruined the party., Gerald ruined the party.  , People left the party because of Gerald.,"Ruined(a, b)","Left(c, b),  BecauseOf(a, b)",[],"[(' Gerald', ' Gerald'), (' the party', ' the party')]","[(' Gerald', ' People')]","Ruined(a, b)","Left(c, b) and BecauseOf(c, a)","(exists a (Ruined(a, b))) -> (forall c (Left(c, b) and BecauseOf(c, a)))","(exists a (exists b (Ruined(a, b)))) -> (exists a (exists c (exists b (Left(c, b) and BecauseOf(c, a)))))"
0,fallacy of logic,"I can’t stop eating these chocolates.  I really love chocolate, or I seriously lack willpower.  I know I really love chocolate; therefore, I cannot lack willpower."," ""I really love chocolate."""," ""I do not lack willpower.""",LovesChocolate(a),HasWillpower(a),[],"[(' I', ' I')]",[],LovesChocolate(a),~LacksWillpower(a),(LovesChocolate(a)) -> (~LacksWillpower(a)),(exists a (LovesChocolate(a))) -> (exists a (~LacksWillpower(a)))
0,false causality,"Shortly after MySpace became popular, U.S. soldiers found Saddam Hussein.", U.S. soldiers found Saddam Hussein shortly after MySpace became popular.  , MySpace becoming popular was related to U.S. soldiers finding Saddam Hussein.,"FoundSaddam(a),  BecamePopular(c)","IsPopular(c),  RelatedToFindingSaddam(a)",[],"[(' U.S. soldiers', ' U.S. soldiers'), (' Saddam Hussein', ' Saddam Hussein'), (' MySpace', ' MySpace')]",[],FoundSaddam(a) and BecamePopular(c),IsPopular(c) and RelatedToFindingSaddam(a),(FoundSaddam(a) and BecamePopular(c)) -> (IsPopular(c) and RelatedToFindingSaddam(a)),(exists a (exists c (FoundSaddam(a) and BecamePopular(c)))) -> (exists a (exists c (IsPopular(c) and RelatedToFindingSaddam(a))))
0,false causality,Jimmy isn't at school today. He must be on a family trip.," ""Jimmy isn't at school today.""  "," ""Jimmy is on a family trip.""","IsNotAt(a, b)","IsOn(a, c)",[],"[(' Jimmy', ' Jimmy')]",[],"IsNotAt(a, b)","IsOn(a, c)","(IsNotAt(a, b)) -> (IsOn(a, c))","(exists a (exists b (IsNotAt(a, b)))) -> (exists a (exists c (IsOn(a, c))))"
0,circular reasoning,"I am athletic because I run, and I run because I'm athletic."," ""I am athletic and I run.""  "," ""Running makes a person athletic.""","IsAthletic(a),  Runs(a)","Runs(b),  IsAthletic(b)",[],[],[],IsAthletic(a) and Runs(a),Runs(b) and IsAthletic(b),(IsAthletic(a) and Runs(a)) -> (Runs(b) and IsAthletic(b)),(exists a (IsAthletic(a) and Runs(a))) -> (exists b (Runs(b) and IsAthletic(b)))
0,false causality,You know Jane Fonda’s exercise videos must be worth the money. Look at the great shape she’s in., Jane Fonda is in great shape.  , Jane Fonda's exercise videos are worth the money.,IsInGreatShape(a),IsWorthTheMoney(a),[],"[("" Jane Fonda's exercise videos"", ' Jane Fonda')]",[],IsInGreatShape(a),IsWorthTheMoney(a),(IsInGreatShape(a)) -> (IsWorthTheMoney(a)),(exists a (IsInGreatShape(a))) -> (exists a (IsWorthTheMoney(a)))
0,fallacy of credibility,Albert Einstein was extremely impressed with this theory.," ""Albert Einstein was extremely impressed with this theory.""  "," ""This theory is impressive.""","IsImpressedWith(b, a)",IsImpressive(a),[],"[(' this theory', ' This theory')]",[],"IsImpressedWith(b, a)",IsImpressive(a),"(IsImpressedWith(b, a)) -> (IsImpressive(a))","(exists a (exists b (IsImpressedWith(b, a)))) -> (exists a (IsImpressive(a)))"
0,false causality,“I sneezed exactly at the same time the power went off. My sneeze must’ve done something to make the power go off. “," ""I sneezed exactly when the power went off.""  "," ""My sneeze made the power go off.""","Sneezed(b),  WentOff(a)","MadeGoOff(c, a)",[],"[(' the power', ' the power')]",[],Sneezed(b) and WentOff(a),"MadeGoOff(c, a)","(Sneezed(b) and WentOff(a)) -> (MadeGoOff(c, a))","(exists a (exists b (Sneezed(b) and WentOff(a)))) -> (exists a (exists c (MadeGoOff(c, a))))"
0,faulty generalization,"It’s getting late, and we still have to decide on the school budget. What do you say we just leave it as is and we can call it a night?", It’s getting late.  , We should leave the school budget as is.,IsLate(a),LeaveAsIs(c),[],[],[],IsLate(a),LeaveAsIs(c),(IsLate(a)) -> (LeaveAsIs(c)),(exists a (IsLate(a))) -> (exists c (LeaveAsIs(c)))
0,ad hominem,"Speaker 1 (Democrat): “Donald Trump is a known adulterer. It reflects badly on his character, and suggests he might not be trustworthy.”
Speaker 2 (Republican): “What about Bill Clinton? You didn’t seem to care when he cheated.”"," ""Donald Trump is a known adulterer""  "," ""Donald Trump might not be trustworthy""",IsKnownAdulterer(a),IsNotTrustworthy(a),[],"[(' Donald Trump', ' Donald Trump')]",[],IsKnownAdulterer(a),~IsNotTrustworthy(a),(IsKnownAdulterer(a)) -> (~IsNotTrustworthy(a)),(exists a (IsKnownAdulterer(a))) -> (exists a (~IsNotTrustworthy(a)))
0,ad hominem,"I hope I presented my argument clearly.  Now, my opponent will attempt to refute my argument by his own fallacious, incoherent, illogical version of history."," My opponent's version of history is fallacious, incoherent, and illogical.  ", My opponent will not refute my argument effectively.,"IsFallacious(a),  IsIncoherent(a),  IsIllogical(a)","WillNotRefuteEffectively(b, c)",[],[],"[("" My opponent's version of history"", ' My opponent')]",IsFallacious(a) and IsIncoherent(a) and IsIllogical(a),"WillNotRefuteEffectively(b, c)","(exists a (IsFallacious(a) and IsIncoherent(a) and IsIllogical(a))) -> (forall b (WillNotRefuteEffectively(b, c)))","(exists a (IsFallacious(a) and IsIncoherent(a) and IsIllogical(a))) -> (exists c (exists b (WillNotRefuteEffectively(b, c))))"
0,false causality,"Every time we sacrifice virgins, it rains. Therefore, sacrificing virgins causes it to rain.", Sacrificing virgins is followed by rain., Sacrificing virgins causes rain.,"IsSacrificed(a),  IsFollowedBy(b)","IsSacrificed(a),  CausesRain(a)",[],"[(' Virgins', ' Virgins'), (' rain', ' rain')]",[],IsSacrificed(a) and IsFollowedBy(b),IsSacrificed(a) and CausesRain(b),(IsSacrificed(a) and IsFollowedBy(b)) -> (IsSacrificed(a) and CausesRain(b)),(exists a (exists b (IsSacrificed(a) and IsFollowedBy(b)))) -> (exists a (exists b (IsSacrificed(a) and CausesRain(b))))
0,ad hominem,"Salesman: This car gets better than average gas mileage and is one of the most reliable cars according to Consumer Reports.
Will: I doubt it—you obviously just want to sell me that car.
"," ""The car gets better than average gas mileage and is one of the most reliable cars according to Consumer Reports.""  "," ""The salesman just wants to sell Will the car.""","GetsBetterGasMileage(a, b),  IsReliable(a),  AccordingTo(a, d)","WantsToSell(e, a, f)",[],"[(' The car', ' the car')]","[(' one of the most reliable cars', ' the car')]","GetsBetterGasMileage(a, b) and IsReliable(a) and AccordingTo(a, d)","WantsToSell(e, a, f)","(GetsBetterGasMileage(a, b) and IsReliable(a) and AccordingTo(a, d)) -> (WantsToSell(e, a, f))","(exists a (exists d (exists b (GetsBetterGasMileage(a, b) and IsReliable(a) and AccordingTo(a, d))))) -> (exists f (exists a (exists e (WantsToSell(e, a, f)))))"
0,fallacy of relevance,Labor unions in America are just as bad as Russia under Stalin!," ""Labor unions in America are as bad as Russia under Stalin.""  "," ""Labor unions in America are bad""","IsBad(a),  IsUnder(b, c)",IsBad(d),[],[],"[(' Labor unions in America', ' Labor unions'), (' Labor unions in America', ' America')]",IsBad(a) and (b = c),IsBad(d),(exists a (IsBad(a) and (b = c))) -> (forall d (IsBad(d))),(exists a (exists c (exists b (IsBad(a) and (b = c))))) -> (exists d (IsBad(d)))
0,ad populum,"""Everyone was driving over the speed limit, so I shouldn't have gotten a ticket for it!"" is an example of which logical fallacy?"," ""Everyone was driving over the speed limit"""," ""I should not have gotten a ticket for driving over the speed limit""","IsDriving(a),  IsOverSpeedLimit(a)","IsDriving(a),  IsOverSpeedLimit(a),  HasTicket(a)",[],"[(' I', ' Everyone'), (' the speed limit', ' the speed limit')]",[],IsDriving(a) and IsOverSpeedLimit(a),IsDriving(a) and IsOverSpeedLimit(a) and HasTicket(a),(IsDriving(a) and IsOverSpeedLimit(a)) -> (IsDriving(a) and IsOverSpeedLimit(a) and HasTicket(a)),(exists a (IsDriving(a) and IsOverSpeedLimit(a))) -> (exists a (IsDriving(a) and IsOverSpeedLimit(a) and HasTicket(a)))
0,ad hominem,Why would you trust Paris Hilton to sell health food? She drinks and parties and has multiple partners.," ""Paris Hilton drinks and parties and has multiple partners.""  "," ""Paris Hilton should not be trusted to sell health food.""","Drinks(a),  Parties(a),  HasMultiplePartners(a)","NotTrustedToSell(a, c)",[],"[(' Paris Hilton', ' Paris Hilton')]",[],Drinks(a) and Parties(a) and HasMultiplePartners(a),"~NotTrustedToSell(a, c)","(Drinks(a) and Parties(a) and HasMultiplePartners(a)) -> (~NotTrustedToSell(a, c))","(exists a (Drinks(a) and Parties(a) and HasMultiplePartners(a))) -> (exists a (exists c (~NotTrustedToSell(a, c))))"
0,false causality,"“Yesterday, I walked under a ladder with an open umbrella indoors while spilling salt in front of a black cat. And I forgot to knock on wood with my lucky dice. That must be why I’m having such a bad day today. It’s bad luck.”"," ""I walked under a ladder with an open umbrella indoors while spilling salt in front of a black cat."""," ""I am having a bad day because of bad luck.""","WalkedUnderLadder(a, b),  HasOpenUmbrella(c),  Indoors(c),  SpilledSalt(a, d),  InFrontOfBlackCat(a, e)","IsHavingBadDay(a, f),  IsBecauseOfBadLuck(f, g)",[],"[(' I', ' I')]",[],"WalkedUnderLadder(a, b) and HasOpenUmbrella(c) and Indoors(c) and SpilledSalt(a, d) and InFrontOfBlackCat(a, e)","IsHavingBadDay(a, f) and IsBecauseOfBadLuck(f, g)","(WalkedUnderLadder(a, b) and HasOpenUmbrella(c) and Indoors(c) and SpilledSalt(a, d) and InFrontOfBlackCat(a, e)) -> (IsHavingBadDay(a, f) and IsBecauseOfBadLuck(f, g))","(exists c (exists d (exists a (exists b (exists e (WalkedUnderLadder(a, b) and HasOpenUmbrella(c) and Indoors(c) and SpilledSalt(a, d) and InFrontOfBlackCat(a, e))))))) -> (exists f (exists a (exists g (IsHavingBadDay(a, f) and IsBecauseOfBadLuck(f, g)))))"
0,faulty generalization,"A car makes less pollution than a bus. Therefore, cars are less of a pollution problem than buses", A car makes less pollution than a bus.  , Cars are less of a pollution problem than buses.,"MakesLessPollution(a, b)","IsLessOfPollutionProblem(c, e)",[],[],"[(' a bus', ' buses')]","MakesLessPollution(a, b)","IsLessOfPollutionProblem(c, e)","(exists b (MakesLessPollution(a, b))) -> (forall e (IsLessOfPollutionProblem(c, e)))","(exists a (exists b (MakesLessPollution(a, b)))) -> (exists c (exists e (IsLessOfPollutionProblem(c, e))))"
0,appeal to emotion,"Preys on people’s emotions and sensitivities, can turn into a slippery slope", Preys on people’s emotions and sensitivities.  , It turns into a slippery slope.,"PreysOn(a),  PreysOn(b)","TurnsInto(c, d)",[],[],[],PreysOn(a) and PreysOn(b),"TurnsInto(c, d)","(PreysOn(a) and PreysOn(b)) -> (TurnsInto(c, d))","(exists a (exists b (PreysOn(a) and PreysOn(b)))) -> (exists c (exists d (TurnsInto(c, d))))"
0,fallacy of logic,"Bats are mammals. Bats can fly. Pigs are also mammals, therefore pigs can fly."," ""Bats are mammals and bats can fly.""  "," ""Pigs can fly.""","IsMammal(b),  CanFly(b)",CanFly(a),[],"[(' Pigs', ' mammals')]",[],IsMammal(b) and CanFly(b),CanFly(a),(IsMammal(b) and CanFly(b)) -> (CanFly(a)),(exists b (IsMammal(b) and CanFly(b))) -> (exists a (CanFly(a)))
0,intentional,The Geo Metro is a superior car because it averages 43 miles per gallon., The Geo Metro averages 43 miles per gallon.  , The Geo Metro is a superior car.,Averages43MPG(a),IsSuperiorCar(a),[],"[(' The Geo Metro', ' The Geo Metro')]",[],Averages43MPG(a),IsSuperiorCar(a),(Averages43MPG(a)) -> (IsSuperiorCar(a)),(exists a (Averages43MPG(a))) -> (exists a (IsSuperiorCar(a)))
