,Unnamed: 0,label,updated_label,articles,Logical Form,Logical Form 2,result,logical_fallacies,sentence
24,24,0,false causality,The party was going great! Then Gerald showed up and little by little people started collecting their coats and heading home. Gerald ruined the party.,(forall b (forall a (IsRuined(a) and ~IsParty(b)))) -> (exists f (exists e ((IsCollected(c) and IsHeadingHome(e)) and IsLittleByLittle(f)))),(exists b (exists a (IsRuined(a) and ~IsParty(b)))) -> (exists c (exists e (exists f ((IsCollected(c) and IsHeadingHome(e)) and IsLittleByLittle(f))))),0,,
25,25,0,fallacy of logic,"I can’t stop eating these chocolates.  I really love chocolate, or I seriously lack willpower.  I know I really love chocolate; therefore, I cannot lack willpower.","(IsLoved(a,b)) -> (IsLacked(a,c))","(exists b (exists a (IsLoved(a,b)))) -> (exists c (exists a (IsLacked(a,c))))",0,,
26,26,0,false causality,"Shortly after MySpace became popular, U.S. soldiers found Saddam Hussein.",(IsFound(a)) -> (IsFound(a) and IsPopular(b)),(exists a (IsFound(a))) -> (exists b (exists a (IsFound(a) and IsPopular(b)))),0,,
27,27,0,false causality,Jimmy isn't at school today. He must be on a family trip.,(~IsAtSchool(a)) -> (IsOnFamilyTrip(c)),(exists a (~IsAtSchool(a))) -> (exists c (IsOnFamilyTrip(c))),0,,
28,28,0,circular reasoning,"I am athletic because I run, and I run because I'm athletic.",() -> (),() -> (),0,,
29,29,0,false causality,You know Jane Fonda’s exercise videos must be worth the money. Look at the great shape she’s in.,(IsWorthTheMoney(b) and IsJaneFonda(a) & (forall a ( IsInGreatShape(a) ->   IsJaneFonda(a)))) -> (IsInGreatShape(a)),(exists b (exists a (IsWorthTheMoney(b) and IsJaneFonda(a))) & (forall d ( IsInGreatShape(d) ->   IsJaneFonda(d)))) -> (exists a (IsInGreatShape(a))),0,,
30,30,0,fallacy of credibility,Albert Einstein was extremely impressed with this theory.,"(IsImpressed(b,a) & (forall b (forall a ( IsImpressed(b,a) ->  IsBeautiful(a))))) -> (IsBeautiful(a))","(exists b (exists a (IsImpressed(b,a))) & (forall d (forall e ( IsImpressed(d,e) ->  IsBeautiful(e))))) -> (exists a (IsBeautiful(a)))",1,,
31,31,0,false causality,“I sneezed exactly at the same time the power went off. My sneeze must’ve done something to make the power go off. “,(forall b (IsCausedBySneeze(a) and IsOff(b))) -> (exists c (HasSuperpowers(c))),(exists b (exists a (IsCausedBySneeze(a) and IsOff(b)))) -> (exists c (HasSuperpowers(c))),0,,
32,32,0,faulty generalization,"It’s getting late, and we still have to decide on the school budget. What do you say we just leave it as is and we can call it a night?",(forall a (IsLeftAsIs(a))) -> (exists d (IsCalled(b) and ~IsDecided(d))),(exists a (IsLeftAsIs(a))) -> (exists b (exists d (IsCalled(b) and ~IsDecided(d)))),0,,
33,33,0,ad hominem,"Speaker 1 (Democrat): “Donald Trump is a known adulterer. It reflects badly on his character, and suggests he might not be trustworthy.”
Speaker 2 (Republican): “What about Bill Clinton? You didn’t seem to care when he cheated.”",(IsKnownAdulterer(a)) -> (IsCheated(c)),(exists a (IsKnownAdulterer(a))) -> (exists c (IsCheated(c))),0,,
34,34,0,ad hominem,"I hope I presented my argument clearly.  Now, my opponent will attempt to refute my argument by his own fallacious, incoherent, illogical version of history.",(exists a (IsMyOpponent(a) and IsAttemptToRefute(a)) & (forall a (  IsIllogical(a) ->  IsAttemptToRefute(a)))) -> (forall a ((IsFallacious(a) and IsIncoherent(a)) or IsIllogical(a))),(exists a (IsMyOpponent(a) and IsAttemptToRefute(a)) & (forall f (  IsIllogical(f) ->  IsAttemptToRefute(f)))) -> (exists a ((IsFallacious(a) and IsIncoherent(a)) or IsIllogical(a))),0,,
35,35,0,false causality,"Every time we sacrifice virgins, it rains. Therefore, sacrificing virgins causes it to rain.",() -> (),() -> (),0,,
36,36,0,ad hominem,"Salesman: This car gets better than average gas mileage and is one of the most reliable cars according to Consumer Reports.
Will: I doubt it—you obviously just want to sell me that car.
",(exists a (IsReliable(b) and HasGoodGasMileage(a))) -> (forall d (IsWantingToSell(c) and (IsSelling(d) or IsBuying(d)))),(exists b (exists a (IsReliable(b) and HasGoodGasMileage(a)))) -> (exists c (exists d (IsWantingToSell(c) and (IsSelling(d) or IsBuying(d))))),0,,
37,37,0,fallacy of relevance,Labor unions in America are just as bad as Russia under Stalin!,() -> (),() -> (),0,,
38,38,0,ad populum,"""Everyone was driving over the speed limit, so I shouldn't have gotten a ticket for it!"" is an example of which logical fallacy?",(IsDriving(a) and IsOverSpeedLimit(b)) -> (IsGotten(c) and ~IsTicket(d)),(exists b (exists a (IsDriving(a) and IsOverSpeedLimit(b)))) -> (exists c (exists d (IsGotten(c) and ~IsTicket(d)))),0,,
39,39,0,ad hominem,Why would you trust Paris Hilton to sell health food? She drinks and parties and has multiple partners.,"(IsDrinks(a) and IsParties(a)) -> (IsNotTrusted(b,a))","(exists a (IsDrinks(a) and IsParties(a))) -> (exists b (exists a (IsNotTrusted(b,a))))",0,,
40,40,0,false causality,"“Yesterday, I walked under a ladder with an open umbrella indoors while spilling salt in front of a black cat. And I forgot to knock on wood with my lucky dice. That must be why I’m having such a bad day today. It’s bad luck.”","(forall b (exists a (IsHadBadLuck(a,b))) & (forall b (forall c (forall a (  IsForgotToKnockOnWood(c) ->  IsHadBadLuck(a,b))))) & (forall b (forall c (forall a (  IsHadBadDay(c) ->  IsHadBadLuck(a,b)))))) -> (forall c ((IsWalkedUnderLadder(c) and IsOpenUmbrella(c)) and (IsSpillingSalt(c) and IsForgotToKnockOnWood(c)) and (IsHadBadDay(c) or IsLuckyDice(c))))","(exists b (exists a (IsHadBadLuck(a,b))) & (forall d (forall e (forall f (  IsForgotToKnockOnWood(d) ->  IsHadBadLuck(e,f))))) & (forall g (forall h (forall i (  IsHadBadDay(g) ->  IsHadBadLuck(h,i)))))) -> (exists c ((IsWalkedUnderLadder(c) and IsOpenUmbrella(c)) and (IsSpillingSalt(c) and IsForgotToKnockOnWood(c)) and (IsHadBadDay(c) or IsLuckyDice(c))))",0,,
41,41,0,faulty generalization,"A car makes less pollution than a bus. Therefore, cars are less of a pollution problem than buses",() -> (),() -> (),0,,
42,42,0,appeal to emotion,"Preys on people’s emotions and sensitivities, can turn into a slippery slope",(forall b (exists b (exists a (IsPreyedOn(a) and IsSensitive(b))))) -> (exists d (forall c (IsTurnedInto(c) and IsSlippery(d)))),(exists b (exists a (IsPreyedOn(a) and IsSensitive(b)))) -> (exists c (exists d (IsTurnedInto(c) and IsSlippery(d)))),0,,
43,43,0,fallacy of logic,"Bats are mammals. Bats can fly. Pigs are also mammals, therefore pigs can fly.",() -> (),() -> (),0,,
44,44,0,intentional,The Geo Metro is a superior car because it averages 43 miles per gallon.,"(IsAveraging(a) & (forall b (forall a ( IsAveraging(a) ->  IsSuperior(a,b)))) & (forall b (forall a ( IsSuperior(a,b) ->  IsAveraging(a))))) -> (IsSuperior(a,b))","(exists a (IsAveraging(a)) & (forall c (forall d ( IsAveraging(c) ->  IsSuperior(c,d)))) & (forall e (forall f ( IsSuperior(e,f) ->  IsAveraging(e))))) -> (exists b (exists a (IsSuperior(a,b))))",0,,
45,45,0,fallacy of relevance,"“While you may have concerns about my votes about the environment, I can assure you that I am an open minded individual. What we should really discuss is my record on votes that expanded educational opportunities for all children.""",(exists a (IsOpenMinded(a))) -> (forall c (forall b (IsGood(d) and (IsVotes(b) and IsEducationalOpportunities(c))))),(exists a (IsOpenMinded(a))) -> (exists b (exists c (exists d (IsGood(d) and (IsVotes(b) and IsEducationalOpportunities(c)))))),0,,
46,46,0,intentional,"Fish are the easiest pets to keep; they are inexpensive and require no maintenance at all. Plus, they are really pretty and soothing to watch.",(forall b (IsEasyToKeep(b)) & (forall c (forall a ( IsEasyToKeep(a) ->   RequiresNoMaintenance(c))))) -> (exists e (exists d (IsInexpensive(d) and RequiresNoMaintenance(e)))),(exists b (IsEasyToKeep(b)) & (forall g (forall f ( IsEasyToKeep(f) ->   RequiresNoMaintenance(g))))) -> (exists d (exists e (IsInexpensive(d) and RequiresNoMaintenance(e)))),0,,
47,47,0,intentional,I am only slightly obese.  That is perfectly normal here in America.,(exists b (IsSlightlyObese(b))) -> (forall d (IsNormal(d) and IsObeseIn(d))),(exists b (IsSlightlyObese(b))) -> (exists d (IsNormal(d) and IsObeseIn(d))),0,,
48,48,0,ad populum,"Most people think the world is flat, therefore it is flat.",(forall c (IsThoughtToBeFlat(b) and IsFlat(c)) & (forall d (forall a ( IsFlat(d) ->  IsThoughtToBeFlat(a))))) -> (exists a (IsFlat(a))),(exists b (exists c (IsThoughtToBeFlat(b) and IsFlat(c))) & (forall e (forall f ( IsFlat(e) ->  IsThoughtToBeFlat(f))))) -> (exists a (IsFlat(a))),0,,
49,49,0,appeal to emotion,You have to give me a passing grade. I spent 150 hours on that project and missed every party this quarter.,"(forall a (forall c (forall b (IsGivenTo(b,c) and HasPassingGrade(a)))) & (forall b (forall c (forall d (forall a ( IsGivenTo(b,c) ->  DeservesPassingGrade(d,a)))))) & (forall b (forall c (forall d (forall a ( DeservesPassingGrade(d,a) ->  IsGivenTo(b,c)))))) & (forall d (forall a (  HasPassingGrade(a) ->  DeservesPassingGrade(d,a)))) & (forall d (forall a ( DeservesPassingGrade(d,a) ->   HasPassingGrade(a))))) -> (exists d (exists a (DeservesPassingGrade(d,a))))","(exists b (exists c (exists a (IsGivenTo(b,c) and HasPassingGrade(a)))) & (forall g (forall h (forall e (forall f ( IsGivenTo(e,f) ->  DeservesPassingGrade(g,h)))))) & (forall k (forall i (forall j (forall l ( DeservesPassingGrade(i,j) ->  IsGivenTo(k,l)))))) & (forall m (forall n (  HasPassingGrade(m) ->  DeservesPassingGrade(n,m)))) & (forall p (forall o ( DeservesPassingGrade(o,p) ->   HasPassingGrade(p))))) -> (exists d (exists a (DeservesPassingGrade(d,a))))",0,,
50,50,0,ad populum,"I guess I should buy my 12 year old daughter an iPhone. Everyone at her school has one, and I want her to fit in with the other kids.","(forall c (IsAt(b,c) and HasAnIPhone(a)) & (forall d (forall a ( ShouldBuy(a,d) ->   HasAnIPhone(a))))) -> (exists d (ShouldBuy(a,d)))","(exists b (exists c (exists a (IsAt(b,c) and HasAnIPhone(a)))) & (forall e (forall f ( ShouldBuy(e,f) ->   HasAnIPhone(e))))) -> (exists d (exists a (ShouldBuy(a,d))))",0,,
51,51,0,intentional,Kerry’s plan will raise taxes by at least $900 billion his first hundred days.,"(IsRaisedBy(a,b) and IsAtLeast(c)) -> (IsFirstHundredDaysOf(a) and IsRaisedBy(a,b) and IsAtLeast(c))","(exists b (exists c (exists a (IsRaisedBy(a,b) and IsAtLeast(c))))) -> (exists b (exists c (exists a (IsFirstHundredDaysOf(a) and IsRaisedBy(a,b) and IsAtLeast(c)))))",0,,
52,52,0,fallacy of extension,"If you told a person, ""I think we should all stay inside to bend the curve of COVID-19"" and they replied, ""so I guess you want people to lose their jobs then,"" what logical fallacy are they using?","(IsStayingInside(b) and IsBendingCurve(a)) -> (IsLosingJobs(c) and IsNecessaryConsequence(d,a))","(exists b (exists a (IsStayingInside(b) and IsBendingCurve(a)))) -> (exists c (exists d (exists a (IsLosingJobs(c) and IsNecessaryConsequence(d,a)))))",0,,
53,53,0,appeal to emotion,"Power lines cause cancer. I met a little boy with cancer who lived just 20 miles from a power line who looked into my eyes and said, in his weak voice, “Please do whatever you can so that other kids won’t have to go through what I am going through.” I urge you to vote for this bill to tear down all power lines and replace them with monkeys on treadmills.","(IsCausedBy(a,b)) -> (IsTornDown(a) and (IsReplacedWith(a,c) and PreventsCancer(c,d)))","(exists b (exists a (IsCausedBy(a,b)))) -> (exists d (exists c (exists a (IsTornDown(a) and (IsReplacedWith(a,c) and PreventsCancer(c,d))))))",0,,
54,54,0,ad hominem,"Student: Hey, Professor Moore, we shouldn't have to read this book by Freud. Everyone knows he used cocaine.","(IsUsed(a,b)) -> (ShouldNotHaveToRead(c) and IsRead(a))","(exists b (exists a (IsUsed(a,b)))) -> (exists c (exists a (ShouldNotHaveToRead(c) and IsRead(a))))",0,,
55,55,0,false causality,"Our house was burglarized right after that new family moved in next door. Therefore, that new family must have been involved.",() -> (),() -> (),0,,
56,56,0,circular reasoning,"Witchcraft remains our most urgent spiritual problem because it threatens
our very souls.",(exists b (IsThreatened(b))) -> (forall c (MustAddress(c))),(exists b (IsThreatened(b))) -> (exists c (MustAddress(c))),0,,
57,57,0,false dilemma,"Senator Jill: ""We'll have to cut education funding this year.""
Senator Bill: ""Why?""
Senator Jill: ""Well, either we cut the social programs or we live with a huge deficit and we can't live with the deficit.""",(IsCut(a) and IsThisYear(c)) -> (IsCut(d)),(exists c (exists a (IsCut(a) and IsThisYear(c)))) -> (exists d (IsCut(d))),0,,
58,58,0,appeal to emotion,"""You'll make the right decision because you have something that not many people do: you have heart.""?",(IsHavingHeart(a) & (forall a ( IsHavingHeart(a) ->  WillMakeRightDecision(a)))) -> (WillMakeRightDecision(a)),(exists a (IsHavingHeart(a)) & (forall d ( IsHavingHeart(d) ->  WillMakeRightDecision(d)))) -> (exists a (WillMakeRightDecision(a))),0,,
59,59,0,faulty generalization,Christine has a terrible experience with a boyfriend. She decides that all boys are mean. This is an example of which logical fallacy?,"(AllBoys(b) and IsMean(a)) -> (IsExperiencedWith(a,c) and IsMean(d))","(exists b (exists a (AllBoys(b) and IsMean(a)))) -> (exists d (exists c (exists a (IsExperiencedWith(a,c) and IsMean(d)))))",0,,
60,60,0,circular reasoning,Smoking pot is against the law because it's wrong; I know it's wrong because it is against the law.,() -> (),() -> (),0,,
61,61,0,circular reasoning,"""You can't give me a D because I'm an A student!""",() -> (),() -> (),0,,
62,62,0,fallacy of logic,People who buy stocks are no different from people who bet on horse racing. They both risk their money with little chance of making a big profit.,"(exists c (forall b (forall a (IsBuy(a) and IsBet(b) and IsHorseRacing(c)))) & (forall b (forall d (forall e (  IsBet(b) ->  IsRisk(d,e)))))) -> (forall g (exists g (exists f (IsRisk(d,e) and IsLittleChance(f) and IsBigProfit(g)))))","(exists b (exists c (exists a (IsBuy(a) and IsBet(b) and IsHorseRacing(c)))) & (forall h (forall j (forall i (  IsBet(h) ->  IsRisk(i,j)))))) -> (exists g (exists d (exists e (exists f (IsRisk(d,e) and IsLittleChance(f) and IsBigProfit(g))))))",0,,
63,63,0,appeal to emotion,"I cannot get a job because the public education system failed me;  I have to steal to  survive.  It is society's fault, not mine.","(forall b (forall a (IsFailed(a,b)))) -> (exists c (exists e (IsSteal(c) and IsSurvive(e))))","(exists b (exists a (IsFailed(a,b)))) -> (exists c (exists e (IsSteal(c) and IsSurvive(e))))",0,,
64,64,0,faulty generalization,"Trump presents a dark image of America if Clinton is elected, with “Syrian refugees flooding in, illegal immigrants convicted of crimes staying.”",(exists c ((IsSyrianRefugee(a) and IsIllegalImmigrant(b)) and (HasCommittedCrime(c) or IsStayed(b)))) -> (forall e (IsPresented(d) and (IsDarkImage(e) and IsElected(f)))),(exists b (exists c (exists a ((IsSyrianRefugee(a) and IsIllegalImmigrant(b)) and (HasCommittedCrime(c) or IsStayed(b)))))) -> (exists d (exists e (exists f (IsPresented(d) and (IsDarkImage(e) and IsElected(f)))))),0,,
65,65,0,ad hominem,"Charlie: Fast food is filled with salt, fat, and added sugars. We need better regulation of the industry.
Bob: That my be, but you're such a hypocrite! I saw you devour a Triple-Baconator, super-sized fries, and 64oz of soda yesterday!","(IsFilledWith(a,b) and (IsSaturated(c) and IsAdded(d))) -> (IsHypocrite(e))","(exists d (exists b (exists c (exists a (IsFilledWith(a,b) and (IsSaturated(c) and IsAdded(d))))))) -> (exists e (IsHypocrite(e)))",0,,
66,66,0,faulty generalization,Christine has a terrible experience with a boyfriend. She decides that all boys are mean.,(exists b (IsHadExperience(a) and IsBoyfriend(b))) -> (forall c (IsMean(c))),(exists b (exists a (IsHadExperience(a) and IsBoyfriend(b)))) -> (exists c (IsMean(c))),0,,
67,67,0,intentional,"Barbara believes the marketing agency's office is haunted. The cleaning crew once said they heard a other-worldly noise late at night. Since no one could prove that it wasn't a ghost, the office must be haunted.","(forall c (IsHaunted(b) and (IsInOffice(a) and IsGhost(c)))) -> (exists e (~IsA(d,e)))","(exists b (exists c (exists a (IsHaunted(b) and (IsInOffice(a) and IsGhost(c)))))) -> (exists d (exists e (~IsA(d,e))))",0,,
68,68,0,ad populum,"I am voting for Pepitone for President because the rest of my family is voting for her, and I don't want to be the only one not doing so.","(IsVotingFor(a) and President(b)) -> (IsNotVotingFor(c,a) and IsVotingFor(b))","(exists b (exists a (IsVotingFor(a) and President(b)))) -> (exists b (exists c (exists a (IsNotVotingFor(c,a) and IsVotingFor(b)))))",0,,
69,69,0,fallacy of credibility,"“I admire the president for being a good role model.” REPLY: “But the New York Times says he’s a lousy role model, so you’re wrong.”","(forall a (IsGoodRoleModel(a))) -> (exists c (IsSays(b,c) and IsLousyRoleModel(c)))","(exists a (IsGoodRoleModel(a))) -> (exists b (exists c (IsSays(b,c) and IsLousyRoleModel(c))))",0,,
70,70,0,faulty generalization,The numbers on gun violence speak for themselves. We should ban guns in the country!,() -> (),() -> (),0,,
71,71,0,false causality,"“The temperature has dropped this morning, and I also have a headache. Therefore, the cold weather must be causing my headache. “",(forall b (IsCold(b) and HasHeadache(a)) & (forall b (forall c ( IsCold(b) ->  IsDropTemperature(c)))) & (forall c (forall b ( IsDropTemperature(c) ->  IsCold(b))))) -> (exists c (IsDropTemperature(c) and HasHeadache(a))),(exists b (exists a (IsCold(b) and HasHeadache(a))) & (forall d (forall e ( IsCold(d) ->  IsDropTemperature(e)))) & (forall g (forall f ( IsDropTemperature(f) ->  IsCold(g))))) -> (exists c (exists a (IsDropTemperature(c) and HasHeadache(a)))),0,,
72,72,0,ad hominem,"My teacher says the Earth is flat, so it definitely is flat.",() -> (),() -> (),0,,
73,73,0,equivocation,"The fallacy of equivocation occurs when a key term or phrase in an argument is used in an ambiguous way, with one meaning in one portion of the argument and then another meaning in another portion of the argument.",(exists b (IsFallacyOfEquivocation(b) and Occurs(a))) -> (forall a (IsAmbiguous(a))),(exists b (exists a (IsFallacyOfEquivocation(b) and Occurs(a)))) -> (exists a (IsAmbiguous(a))),0,,
74,74,0,faulty generalization,When you have too little or unrepresentative data to make claim.,(forall b (IsTooLittle(a) or IsUnrepresentative(b))) -> (exists d (IsMakeClaim(c) and ~IsClaim(d))),(exists b (exists a (IsTooLittle(a) or IsUnrepresentative(b)))) -> (exists c (exists d (IsMakeClaim(c) and ~IsClaim(d)))),0,,
75,75,0,ad populum,"The majority of people believe advertisers should spend more money on billboards, so billboards are objectively the best form of advertisement.",() -> (),() -> (),0,,
76,76,0,faulty generalization,"If we ban Hummers because they are bad for the environment, eventually the government will ban all cars, so we should not ban Hummers.",(IsBanned(a) and IsBadFor(b) & (forall b (forall d ( WillBeBanned(d) ->   IsBadFor(b))))) -> (WillBeBanned(c)),(exists b (exists a (IsBanned(a) and IsBadFor(b))) & (forall e (forall f ( WillBeBanned(e) ->   IsBadFor(f))))) -> (exists c (WillBeBanned(c))),0,,
77,77,0,ad hominem,"My opponent raised a good point, but can we trust him? I mean he just moved to town only 5 months ago, how much could he really know?",(forall a (IsRaisedGoodPoint(a))) -> (exists b (~IsTrusted(b))),(exists a (IsRaisedGoodPoint(a))) -> (exists b (~IsTrusted(b))),0,,
